Исполнитель,Название,Файл,Ссылка
Александр Гейнц и Сергей Данилов,А может жизнь проходит зря,Гейнц - А может жизнь проходит зря.txt
Александр Городницкий, Атланты, Городницкий - Атланты.txt
Александр Розенбаум,38 узлов,Розенбаум - 38 узлов.txt
Александр Розенбаум,Глухари,Розенбаум - Глухари.txt
Александр Розенбаум,Умница,Розенбаум - Умница.txt
Анне Вески,Позади крутой поворот,Вески - Позади крутой поворот.txt
Бременские музыканты, Луч солнца золотого, Бременские музыканты - Луч солнца золотого.txt
Бременские музыканты, Песня Трубадура, Бременские музыканты - Песня Трубадура.txt
Вадим Егоров, Нам с сестренкой каюк, Егоров - Нам с сестренкой каюк.txt, https://www.5lad.info/akkordy/vadim-egorov/monolog-syna
Виктор Третьяков,Четвертый день войны,Третьяков - Четвертый день войны.txt
Виктор Третьяков, Улетаю, Третьяков - Улетаю.txt
Владимир Высоцкий, Девушка из Нагасаки, Высоцкий - Девушка из Нагасаки.txt
Владимир Высоцкий,Жили-были на море,Высоцкий - Жили-были на море.txt
Владимир Высоцкий,Корабли,Высоцкий - Корабли.txt
Владимир Высоцкий,Песня о друге,Высоцкий - Песня о друге.txt
Голубые береты, Кукушка, Голубые береты - Кукушка.txt
Дворовые,Алые паруса, Дворовые - Алые паруса.txt
Ирина Ромашка, Аллилуйя, Ромашка - Аллилуйя.txt
Ирина Ромашка,Три желания,Ромашка - Три желания.txt
Кино,Звезда по имени Солнце,Кино - Звезда.txt
Кинофильмы, Черное и белое, Кинофильмы - Черное и белое.txt
Кинофильмы, Ты мне веришь или нет, Кинофильмы - Ты мне веришь или нет.txt
Наташа Королёва,Маленькая страна,Королёва - Маленькая страна.txt
Леонид Сергеев, Один день женщины, Сергеев - Один день женщины.txt
Любэ,9-й вал,Любэ - 9-й вал.txt
Любэ,За тебя,Любэ - За тебя.txt
Машина времени,Вагонные споры,Машина времени - Вагонные споры.txt
Машина времени,Годы летят стрелою,Машина времени - Годы летят стрелою.txt
Машина времени,Костер,Машина времени - Костер.txt
Машина времени,Паузы,Машина времени - Паузы.txt
Машина времени,Поворот,Машина времени - Поворот.txt
Машина времени,Свеча,Машина времени - Свеча.txt
Машина времени,Скворец,Машина времени - Скворец.txt
Михаил Боярский, Рассказ подвыпившего бомбардира, Боярский - Рассказ подвыпившего бомбардира.txt, https://ru.muzland.ru/songs.html?auth=83&song=2
Михаил Ножкин,Я в весеннем лесу,Михаил Ножкин - Я в весеннем лесу.txt
Мультфильм,Колыбельная медведицы,Колыбельная медведицы.txt
Николай Гринько,Однокомнатная планета,Гринько - Однокомнатная планета.txt
Николай Гринько,Сели наши на Луну,Гринько - Сели наши на луну.txt
Николай Гринько,Серёга вынеси ёлку,Гринько - Серёга вынеси ёлку.txt
Олег Анофриев,Есть только миг,Анофриев - Есть только миг.txt
Олег Митяев,Таганай,Митяев - Таганай.txt
Олег Шак, Новогодняя, Шак - Новогодняя.txt
Павел Коган,Бригантина,Коган - Бригантина.txt
Татьяна Мужицкая,Сыворотка правды,Мужицкая - Сыворотка правды.txt
Чайф,17 лет,Чайф - 17 лет.txt
Натали,Четыре стены,Натали - Четыре стены.txt
Владимир Высоцкий,Вершина,Владимир Высоцкий - Вершина.txt
Александр Новиков,"Помнишь, девочка",Александр Новиков - Помнишь девочка.txt
Александр Розенбаум,Мой двор,Александр Розенбаум - Мой двор.txt
Александр Розенбаум,Вальс-бостон,Александр Розенбаум - Вальс-бостон.txt
Александр Розенбаум,Есаул,Александр Розенбаум - Есаул.txt
Осин Евгений,Иволга,Осин Евгений - Иволга.txt
Машина Времени,В добрый час,Машина Времени - В добрый час.txt
Гейнц-Данилов,Кризис среднего возраста,Гейнц-Данилов - Кризис среднего возраста.txt
Андрей Волков,Посвящение друзьям,Андрей Волков - Посвящение друзьям.txt
Андрей Державин,Журавлиный крик,Андрей Державин - Журавлиный крик.txt
Песни из кинофильмов,Ваше благородие,Песни из кинофильмов - Ваше благородие.txt
Песни из кино,У природы нет плохой,Песни из кино - У природы нет плохой.txt
Песни из кино,"Ты, да я, да мы с тобой!",Песни из кино - Ты да я да мы с тобой.txt
Валерий Канер,А все кончается,Валерий Канер - А все кончается.txt
Песни из кино,Я спросил у ясеня,Песни из кино - Я спросил у ясеня.txt
Александр Городницкий,Снег,Александр Городницкий - Снег.txt
Владимир Высоцкий,За меня невеста,Владимир Высоцкий - За меня невеста.txt
Александр Городницкий,Атланты,Александр Городницкий - Атланты.txt
Юрий Визбор,Серега Санин,Юрий Визбор - Серега Санин.txt
Виктор Берковский,Песенка про собаку Тябу,Виктор Берковский - Песенка про собаку Тябу.txt
Песни из кино,Вожатский вальс,Песни из кино - Вожатский вальс.txt
Михаил Шуфутинский,Моя Одесса,Михаил Шуфутинский - Моя Одесса.txt
Александр Розенбаум,Извозчик,Александр Розенбаум - Извозчик.txt
Александр Розенбаум,Жеребёнок,Александр Розенбаум - Жеребнок.txt
"Михаил Шуфутинский","Моя Одесса","Михаил Шуфутинский - Моя Одесса.txt"
"Максим Максимов","Когда ты на машине при деньгах","Максим Максимов - Когда ты на машине при деньгах.txt"
Игорь Мальский,В парусиновых брюках,Игорь Мальский - В парусиновых брюках.txt
Олег Митяев,Территория,Олег Митяев - Территория.txt
