Название,Исполнитель,Файл
Три желания, Ирина Ромашка, Ромашка - Три желания.txt
Колыбельная медведицы, Мультфильм, Колыбельная медведицы.txt
Бригантина,Павел Коган,Коган - Бригантина.txt
Песня о друге, Владимир Высоцкий, Высоцкий - Песня о друге.txt
Жили-были на море,Владимир Высоцкий,Высоцкий - Жили-были на море.txt
Есть только миг,Анофриев, Анофриев - Есть только миг.txt
Маленькая страна, Королёва, Королёва - Маленькая страна.txt
Я в весеннем лесу, Михаил Ножкин, Михаил Ножкин - Я в весеннем лесу.txt
Звезда по имени Солнце,Кино,Кино - Звезда.txt
Поворот, Машина времени, Машина времени - Поворот.txt
Костер, Машина времени, Машина времени - Костер.txt
Годы летят стрелою, Машина времени, Машина времени - Годы летят стрелою.txt
Свеча, Машина времени, Машина времени - Свеча.txt
Паузы,Машина времени, Машина времени - Паузы.txt
