Исполнитель,Название,Файл
Виктор Третьяков,Четвертый день войны,Третьяков - Четвертый день войны.txt
Виктор Третьяков, Улетаю, Третьяков - Улетаю.txt
Владимир Высоцкий,Жили-были на море,Высоцкий - Жили-были на море.txt
Владимир Высоцкий,Корабли,Высоцкий - Корабли.txt
Владимир Высоцкий,Песня о друге,Высоцкий - Песня о друге.txt
Голубые береты, Кукушка, Голубые береты - Кукушка.txt
Ирина Ромашка, Аллилуйя, Ромашка - Аллилуйя.txt
Ирина Ромашка,Три желания,Ромашка - Три желания.txt
Кино,Звезда по имени Солнце,Кино - Звезда.txt
Наташа Королёва,Маленькая страна,Королёва - Маленькая страна.txt
Леонид Сергеев, Один день женщины, Сергеев - Один день женщины.txt
Машина времени,Годы летят стрелою,Машина времени - Годы летят стрелою.txt
Машина времени,Костер,Машина времени - Костер.txt
Машина времени,Паузы,Машина времени - Паузы.txt
Машина времени,Поворот,Машина времени - Поворот.txt
Машина времени,Свеча,Машина времени - Свеча.txt
Михаил Ножкин,Я в весеннем лесу,Михаил Ножкин - Я в весеннем лесу.txt
Мультфильм,Колыбельная медведицы,Колыбельная медведицы.txt
Олег Анофриев,Есть только миг,Анофриев - Есть только миг.txt
Олег Митяев,Таганай,Митяев - Таганай.txt
Павел Коган,Бригантина,Коган - Бригантина.txt


